button_id,screen,label,visible_when,action_type,navigates_to,calls_service,backend_side_effect,risk_level,figma_notes
btn_forgot_submit,ForgotPassword,Enviar enlace,email valid and captcha if required,service_call,n/a,requestPasswordReset,sends reset email,medium,"actual: generic success message"
btn_forgot_back_login,ForgotPassword,Volver a entrar,always,navigate,/login,None,None,low,"actual: link"
btn_reset_request_new,ResetPassword,Pedir enlace nuevo,no recovery session,navigate,/forgot-password,None,None,medium,"actual: expired link path"
btn_reset_show_password,ResetPassword,Mostrar/Ocultar,recovery form visible,local_state,n/a,None,toggles password visibility,low,"actual: affects both password fields"
btn_reset_submit,ResetPassword,Actualizar contrasena,recovery form visible,service_call,/home,updatePassword,updates auth password,high,"actual: redirects after success"
btn_legal_back,LegalLayout,Volver,legal route,navigate,previous route,None,None,low,"actual: navigate(-1)"
btn_legal_tabs,LegalLayout,Normas/Terminos/Privacidad/Cookies,legal route,navigate,/legal/*,None,None,low,"actual: NavLink tabs"
btn_legal_home,LegalLayout,Volver a inicio,legal footer,navigate,/,None,None,low,"actual: footer link"
btn_onboarding_frame_back,OnboardingFrame,Back icon,onboarding basics when onBack provided,navigate,previous route,None,None,low,"actual: basics uses navigate(-1)"
btn_onboarding_basics_continue,OnboardingBasicsStep,Continuar,basic form valid,service_call,/home or /onboarding/skills,saveOnboardingBasics,saves base profile,high,"actual: requester can finish after this"
btn_onboarding_location_manual,LocationAutocomplete,Escribir manualmente,location autocomplete,local_state,n/a,None,switches manual mode,low,"actual: location helper action"
btn_onboarding_location_auto,LocationAutocomplete,Volver a buscar,manual mode,local_state,n/a,None,switches search mode,low,"actual: label from component"
btn_onboarding_skill_badge,OnboardingSkillsStep,Skill badge,skills loaded,local_state,n/a,None,toggles selected skill,medium,"actual: controls selectedSkillRows"
btn_onboarding_skills_back,OnboardingSkillsStep,Volver,always,navigate,/onboarding,None,None,low,"actual: previous step"
btn_onboarding_skills_continue,OnboardingSkillsStep,Continuar,always,service_call,/onboarding/location,replaceProfileSkills;s updateCurrentProfile,saves skills and helper status,high,"actual: helper flow"
btn_onboarding_use_location,OnboardingLocationStep,Usar mi ubicación,location step,service_call,n/a,useUserLocation.requestLocation,browser location prompt,medium,"actual: local hook state"
btn_onboarding_use_this_location,OnboardingLocationStep,Usar esta ubicación,location available,local_state,n/a,None,copies hook location into draft,medium,"actual: no backend until continue"
btn_onboarding_location_back,OnboardingLocationStep,Volver,always,navigate,/onboarding/skills,None,None,low,"actual: previous step"
btn_onboarding_location_continue,OnboardingLocationStep,Continuar,always,service_call,/onboarding/availability,updateCurrentProfile,saves location and helper status,high,"actual: writes profile location"
btn_onboarding_day_toggle,OnboardingAvailabilityStep,Disponible / Marcar disponible,each day,local_state,n/a,None,toggles slot active,medium,"actual: save happens on continue"
btn_onboarding_availability_back,OnboardingAvailabilityStep,Volver,always,navigate,/onboarding/location,None,None,low,"actual: previous step"
btn_onboarding_availability_continue,OnboardingAvailabilityStep,Continuar,always,service_call,/onboarding/verification,replaceProfileAvailability; updateCurrentProfile,saves availability,high,"actual: helper flow"
btn_onboarding_verify_phone,OnboardingVerificationStep,Teléfono preparado / Añadir teléfono después,verification step,local_state,n/a,None,toggles draft.verifiedPhone,medium,"actual: placeholder trust signal"
btn_onboarding_verify_identity,OnboardingVerificationStep,Identidad preparada / Identidad pendiente,verification step,local_state,n/a,None,toggles draft.identityVerified,medium,"actual: placeholder trust signal"
btn_onboarding_verify_back,OnboardingVerificationStep,Volver,always,navigate,/onboarding/availability,None,None,low,"actual: previous step"
btn_onboarding_verify_finish,OnboardingVerificationStep,Entrar a helpMe,always,service_call,/home,saveProfileVerification,saves verification flags,high,"actual: final route onboarding step"
btn_create_back,CreateTask,Volver,always,navigate,/home,None,None,low,"actual: requester mode state"
btn_create_category,CreateTask,Category chip,form visible,local_state,n/a,None,sets category,low,"actual: allowedCategories"
btn_create_price,CreateTask,Price chip,form visible,local_state,n/a,None,sets suggested price,low,"actual: suggestions 3/5/10"
btn_create_location_open,TaskLocationPicker,Seleccionar ubicación,form visible,open_modal,n/a,None,opens map picker,medium,"actual: label from picker"
btn_create_location_close,TaskLocationPicker,Cerrar,picker open,close_modal,n/a,None,None,low,"actual: closes picker"
btn_create_location_save,TaskLocationPicker,Guardar ubicacion,picker open and point selected,local_state,n/a,None,saves selected point to form,medium,"actual: no backend until task save"
btn_create_submit,CreateTask,Guardar / Guardar cambios,form valid,service_call,/home,createTask / updateTask,creates or updates task,high,"actual: route create does not auto-publish via publishTask"
btn_request_modal_close,RequestTaskModal,Cerrar solicitud,modal open,close_modal,n/a,None,None,low,"actual: X/backdrop"
btn_request_modal_use_location,RequestTaskModal,Usar mi ubicación,no task location and hook available,service_call,n/a,useUserLocation.requestLocation,browser location prompt,medium,"actual: helper hint"
btn_request_modal_cancel,RequestTaskModal,Cancelar,modal open,close_modal,n/a,None,None,low,"actual: no save"
btn_request_modal_submit,RequestTaskModal,Publicar solicitud / Guardar cambios,form valid,service_call,/home,createTask+publishTask / updateTask,creates/publishes or updates task,high,"actual: home modal publishes immediately"
btn_helper_card_select,HelperCard,Card body,helper card visible,local_state,n/a,None,selects helper,low,"actual: role button"
btn_helper_card_profile,HelperCard,Ver perfil,helper card visible,navigate,/profile/:id,None,None,medium,"actual: stops card selection propagation"
btn_helper_card_contact,HelperCard,Contactar,helper available,service_call,/chat/:id,createOrGetDirectConversation,opens direct chat,medium,"actual: only when available"
btn_helper_preview_close,HelperPreviewModal,Cerrar vista previa,modal open,close_modal,n/a,None,None,low,"actual: X/backdrop"
btn_helper_preview_profile,HelperPreviewModal,Ver perfil,modal open,navigate,/profile/:id,None,None,medium,"actual: secondary"
btn_helper_preview_contact,HelperPreviewModal,Contactar,modal open,service_call,/chat/:id,createOrGetDirectConversation,opens direct chat,medium,"actual: secondary"
btn_helper_preview_publish,HelperPreviewModal,Publicar solicitud,modal open,open_modal,modal:/home/request-task,None,opens request modal,high,"actual: primary in preview"
btn_task_preview_close,TaskPreviewModal,Cerrar vista previa,modal open,close_modal,n/a,None,None,low,"actual: X/backdrop"
btn_task_preview_locate,TaskPreviewModal,Ver en mapa,modal open,local_state,/home,None,focus task on map,low,"actual: helper opportunity utility"
btn_task_preview_favorite,TaskPreviewModal,Añadir favorito / Quitar favorito,modal open,mutation,n/a,favorite toggle,favorite side effect,low,"actual: side action"
btn_task_preview_contact,TaskPreviewModal,Contactar,task open and not own,service_call,/chat/:id,createOrGetDirectConversation,opens direct chat,medium,"actual: disabled when blocked"
btn_task_preview_detail,TaskPreviewModal,Ver detalle,modal open,navigate,/task/:id,None,None,high,"actual: primary"
btn_chats_modal_close,ChatsModal,Cerrar mensajes,modal open,close_modal,n/a,None,None,low,"actual: X/backdrop"
btn_chats_modal_row,ChatsModal,Conversation row,conversation exists,navigate,/chat/:id,None,None,medium,"actual: closes modal then navigates"
btn_task_chat_close,TaskChatModal,Cerrar chat,modal open,close_modal,n/a,None,None,low,"actual: X/backdrop"
btn_task_chat_send,TaskChatModal,Enviar,chat ready and draft not empty,service_call,same page,sendMessage,creates message,medium,"actual: Enter sends unless Shift+Enter"
btn_task_chat_edit,MessageBubble,Editar,own non-deleted sent message,service_call,same page,updateMessage,edits message,medium,"actual: inline chat action"
btn_task_chat_delete,MessageBubble,Borrar mensaje,own non-deleted sent message,service_call,same page,deleteMessage,soft deletes message,medium,"actual: icon x action"
btn_task_chat_retry,MessageBubble,Reintentar,failed optimistic message,service_call,same page,sendMessage,retries message,medium,"actual: only failed state"
btn_task_chat_load_more,MessageList,Cargar mensajes antiguos,hasMore=true,service_call,same page,getMessages,loads older messages,low,"actual: loading state Cargando..."
btn_home_zone_search,HomeHeader,Buscar zona,zone search available,service_call,/home,searchLocationAutocomplete,changes active map/search location,medium,"actual: helper/requester map search"
btn_home_mode_switch,HomeHeader,Ayudar / Necesito ayuda,always,navigate,/home,setHelperHomeIntent,switches home mode,high,"actual: important mode transition"
btn_home_avatar_profile,HomeHeader,Avatar,always,navigate,/profile,None,None,low,"actual: opens own profile"
btn_home_menu_open,HomeHeader,Menu icon,always,open_dropdown,n/a,None,opens menu,low,"actual: account/navigation menu"
btn_home_bell,HomeHeader,Bell,always,open_dropdown,n/a,None,opens notifications,medium,"actual: badge combines unread messages and pending offers"
btn_logout_cancel,LogoutModal,Cancelar,logout modal open,close_modal,n/a,None,None,low,"actual: closes confirmation"
btn_logout_exit,LogoutModal,Salir,logout modal open,service_call,/,signOut,ends session,high,"actual: window.location.replace('/')"
btn_myrequests_drawer_close,MyRequestsDrawer,Volver a requester home,drawer open,close_drawer,/home,None,None,low,"actual: close button/backdrop"
btn_myrequests_panel_all,MyRequestsPanel,Ver todas,requester home,open_drawer,overlay:/home,None,None,medium,"actual: opens drawer"
btn_myrequests_panel_new,MyRequestsPanel,Publicar nueva,requester home,open_modal,modal:/home/request-task,None,None,high,"actual: request modal"
btn_requester_profile_gate,RequesterProfileGate,Completar perfil,profile incomplete,navigate,/onboarding,setHelperHomeIntent,starts requester onboarding,high,"actual: blocks requester publishing"
btn_needhelp_mobile_map,NeedHelpMapLayout,Mapa,mobile,local_state,n/a,None,switches mobile view,low,"actual: mobile tab"
btn_needhelp_mobile_list,NeedHelpMapLayout,Lista,mobile,local_state,n/a,None,switches mobile view,low,"actual: mobile tab"
btn_needhelp_publish_empty,HelperListPanel,Publicar solicitud,no helpers visible,open_modal,modal:/home/request-task,None,None,high,"actual: empty-state CTA"
btn_needhelp_use_location,HelperListPanel,Usar mi ubicación,no location,service_call,n/a,useUserLocation.requestLocation,browser location prompt,medium,"actual: location banner CTA"
btn_helperhome_map_marker,HelperHome,Map task marker,open task visible,local_state,n/a,None,selects task,low,"actual: map selection"
btn_helperhome_ver_solicitud,HelperHome,Ver solicitud,selected open task,navigate,/task/:id,None,None,high,"actual: opens TaskDetail"
btn_helperhome_contactar,HelperHome,Contactar,selected open task not own,service_call,/chat/:id,createOrGetDirectConversation,opens direct requester chat,medium,"actual: disabled if cannot contact"
btn_helperquick_messages,HelperQuickActions,Mensajes,helper home,navigate_or_modal,/chats or modal,None,None,low,"actual: delegated open chats"
btn_helperquick_favorites,HelperQuickActions,Favoritos,helper home,navigate,/profile,None,None,low,"actual: profile section"
btn_helperquick_settings,HelperQuickActions,Ajustes,helper home,navigate,/settings,None,None,low,"actual: settings"
btn_helperquick_availability,HelperQuickActions,Disponibilidad,helper home,navigate,/onboarding/availability,None,None,medium,"actual: routed onboarding step"
btn_helperquick_skills,HelperQuickActions,Skills,helper home,navigate,/onboarding/skills,None,None,medium,"actual: routed onboarding step"
btn_helperquick_need,HelperQuickActions,Necesito ayuda,helper home,navigate,/home,setHelperHomeIntent,switches to requester mode,medium,"actual: delegated"
btn_helper_upcoming_empty,HelperUpcomingPanel,Ver solicitudes abiertas,no assigned/in_progress tasks,navigate,/home,None,None,low,"actual: mode help state"
btn_helper_upcoming_detail,HelperUpcomingPanel,Ver detalle,assigned/in_progress task,navigate,/task/:id,None,None,medium,"actual: helper upcoming card"
btn_helper_journey_close,HelperJourneyModal,Cerrar,modal open,close_modal,n/a,None,saves progress locally,low,"actual: also backdrop and ESC"
btn_helper_journey_welcome,HelperJourneyModal,Crear mi perfil de ayudante,welcome step,local_state,n/a,None,next step,medium,"actual: journey start"
btn_helper_journey_back,HelperJourneyModal,Atrás,not first step,local_state,n/a,None,previous step,low,"actual: first step closes"
btn_helper_journey_continue,HelperJourneyModal,Continuar,step valid,service_call_or_local,next step,various helper services,saves step data,high,"actual: step-dependent"
btn_helper_journey_stripe,HelperJourneyModal,Continuar con Stripe,identity step not connected,external_redirect,Stripe external,startStripeConnectOnboarding,starts Connect onboarding,high,"actual: external handoff"
btn_helper_journey_activate,HelperJourneyModal,Activar perfil,terms step complete,service_call,/home,updateCurrentProfile,activates helper profile,high,"actual: checks missing requirements"
btn_stripe_refresh_back,StripeRefresh,Volver al onboarding,error/loading screen,navigate,/onboarding,None,None,medium,"actual: escape from expired link"
btn_stripe_refresh_retry,StripeRefresh,Reintentar,error state,external_redirect,Stripe external,startStripeConnectOnboarding,restarts Connect onboarding,high,"actual: disabled while loading"
